time,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1697447116.645145,0.06486737878061831,0.011512431511655449,9.827700179219246,0.03439242020249367,0.002678073476999998,0.026535024866461754
1697447116.6501617,0.01639295251108706,0.09230314196087419,10.026983931660652,0.02587030455470085,0.0016128089046105742,0.03186134621500969
1697447116.655148,-0.006048911502584815,-0.0190085035469383,9.97850950539112,0.021609246730804443,-0.00690930662676692,0.037187669426202774
1697447116.6601613,-0.02669542639516294,-0.08902711926959454,9.781918192207813,0.013087130151689053,-0.003713513258844614,0.03186134621500969
1697447116.665143,-0.00874193518422544,0.046521739372983574,9.868993209004401,0.004565014503896236,-0.004778777714818716,0.03399187698960304
1697447116.6701663,-0.06529543249867856,0.0384426683280617,9.929137404561043,-0.0007613079505972564,-0.005844042170792818,0.037187669426202774
1697447116.6751485,-0.11287218420766294,-0.16173875867389143,9.763964700996876,-0.008218158967792988,-0.002648248802870512,0.02440449595451355
1697447116.6801577,-0.052727988651022316,-0.0010550123360008,9.781918192207813,-0.011413952335715294,0.002678073476999998,0.025469759479165077
1697447116.6851428,-0.10389543860219419,0.0707589525077492,9.82051878273487,-0.011413952335715294,0.0005475444486364722,0.023339230567216873
1697447116.6901617,-0.19456056921742856,-0.1482736402656883,9.69394608527422,-0.011413952335715294,-0.0005177200073376298,0.01694764383137226
1697447116.6951456,-0.11646288244985044,-0.06389223157428205,9.744215860664845,-0.00928342342376709,0.0037433379329741,0.00736026419326663
1697447116.7001631,-0.08324892370961606,0.07165662706829608,9.871686232686043,-0.00928342342376709,0.004808602388948202,0.006294999737292528
1697447116.7051692,-0.15955126135610043,-0.11685503064654768,9.776532144844532,-0.0146097457036376,-0.0015829844633117318,0.006294999737292528
1697447116.7101347,-0.07786287634633482,-0.2057248121406883,9.633801889717578,-0.008218158967792988,0.0037433379329741,0.000968677457422018
1697447116.715178,-0.00515123694203794,-0.04234804212115705,9.764862375557422,-0.008218158967792988,-0.003713513258844614,-0.002227115910500288
1697447116.7201314,-0.11376985876820982,-0.0656875806953758,9.979407179951668,-0.017805539071559906,-0.00690930662676692,0.003099206369370222
1697447116.7251735,-0.07337450354360044,-0.18597597180865705,9.79448563605547,-0.015675010159611702,-0.004778777714818716,-0.00329238036647439
1697447116.7301266,-0.021309379031881688,-0.0944131666328758,9.6706065467,-0.01674027554690838,-0.00797457154840231,-0.002227115910500288
1697447116.735175,-0.06888613074086607,-0.037859669318422676,9.858221114277839,-0.026327654719352722,-0.004778777714818716,-0.004357644822448492
1697447116.7401314,-0.11376985876820982,-0.1698178297188133,9.835779250264167,-0.024197125807404518,-0.014366159215569496,-0.001161851454526186
1697447116.7451713,-0.05362566321156919,-0.16443178235553205,9.62751816779375,-0.015675010159611702,-0.010105100460350513,-0.007553438190370798
1697447116.7501311,-0.04464891760610044,0.0007403367850929498,9.772043772041798,-0.011413952335715294,-0.010105100460350513,-0.001161851454526186
1697447116.7551713,-0.07247682898305356,-0.061199207892641425,9.766657724678517,-0.01674027554690838,-0.01330089382827282,-9.658699855208397e-05
1697447116.760132,-0.09491869299672544,-0.19585039197467266,9.60148560553789,-0.00928342342376709,-0.005844042170792818,-0.004357644822448492
1697447116.7651768,-0.01412798254750669,-0.08184572278521955,9.752294931709766,-0.005022365599870682,0.0005475444486364722,-0.004357644822448492
1697447116.77013,-0.054523337772116064,0.011512431511655449,9.825007155537605,-0.0007613079505972564,0.0016128089046105742,-0.001161851454526186
1697447116.775174,-0.08504427283070981,-0.1805899244453758,9.595201883614063,0.0013692209031432867,-0.002648248802870512,-0.005422909278422594
1697447116.7801309,-0.029388450076803563,-0.11146898328326642,9.616746073067189,0.0034997498150914907,0.002678073476999998,-0.006488173734396696
1697447116.7851727,-0.06080705969594419,0.08781476915813982,9.880662978291511,0.0077608078718185425,0.002678073476999998,0.000968677457422018
1697447116.7901344,-0.10569078772328794,-0.08453874646686017,9.8268025046587,0.009891336783766747,-0.004778777714818716,-0.004357644822448492
1697447116.795172,-0.01771868078969419,-0.12134340344928204,9.652653055489063,0.014152394607663155,-0.003713513258844614,-0.001161851454526186
1697447116.8001323,0.018188301632180808,0.022284526238217948,9.749601908028126,0.009891336783766747,-0.0015829844633117318,-9.658699855208397e-05
1697447116.8051705,-0.06260240881703794,-0.0441433912422508,9.86360716164112,0.008826072327792645,-0.010105100460350513,-9.658699855208397e-05
1697447116.8101318,-0.06798845618031919,-0.19944109021686016,9.736136789619922,0.014152394607663155,-0.009039836004376411,-0.001161851454526186
1697447116.8151746,-0.03297914831899106,0.0420333665702492,9.763964700996876,0.015217659994959831,-0.00690930662676692,-0.002227115910500288
1697447116.8201265,-0.06350008337758481,-0.1294224744942039,9.740625162422656,0.010956601239740849,-0.00690930662676692,-0.001161851454526186
1697447116.8251753,-0.016821006229147315,-0.10428758679889143,9.612257700264454,0.01628292351961136,-0.00690930662676692,0.004164470825344324
1697447116.830158,0.009211556026712059,0.024977549919858573,9.765760050117969,0.01628292351961136,-0.0015829844633117318,-0.001161851454526186
1697447116.835146,-0.013230307986959814,-0.0836410719063133,9.760374002754688,0.023739775642752647,-0.0005177200073376298,0.00736026419326663
1697447116.840166,-0.000662864139303565,-0.17161317883990704,9.650857706367969,0.024805039167404175,0.0005475444486364722,0.005229735281318426
1697447116.845148,0.05948133141733706,0.026772899040952324,9.81782575905323,0.024805039167404175,0.0016128089046105742,0.006294999737292528
